,FECHA,PAIS ORIGEN,FOB U$S,TOTAL KGS NETO
101,2010-09-28,RUSSIAN FEDERATION,68400.0,180000.0
102,2010-09-29,GERMANY,228.26,501.87
103,2010-10-05,RUSSIAN FEDERATION,79800.0,210000.0
104,2010-10-06,RUSSIAN FEDERATION,34200.0,90000.0
105,2010-10-13,RUSSIAN FEDERATION,79800.0,210000.0
106,2010-10-19,RUSSIAN FEDERATION,57000.0,150000.0
107,2010-10-10,UKRAINE,2279112.0,6600000.0
108,2010-10-10,UKRAINE,2279112.0,6600000.0
109,2010-10-10,UKRAINE,2425497.75,7699993.0
110,2010-11-15,GERMANY,33.37,715.91
111,2010-12-05,GERMANY,108.26,582.97
112,2010-11-21,SPAIN,77.4,13902.0
113,2010-11-04,BELARUS,3461400.0,9000000.0
114,2010-12-27,PERU,10360.0,37000.0
115,2011-01-04,PERU,11200.0,40000.0
116,2010-12-19,RUSSIAN FEDERATION,3718121.0,9350000.0
117,2011-01-14,PERU,11200.0,40000.0
118,2011-01-10,VENEZUELA,6026304.5,15755044.0
119,2011-02-09,RUSSIAN FEDERATION,70400.0,160000.0
120,2011-02-16,RUSSIAN FEDERATION,40950.0,90000.0
121,2011-02-09,VENEZUELA,6077416.5,16492311.0
122,2011-01-27,RUSSIAN FEDERATION,7218750.0,22036500.0
123,2011-02-23,RUSSIAN FEDERATION,66000.0,150000.0
124,2010-12-29,INDIA,37.6,1847.91
125,2011-03-02,RUSSIAN FEDERATION,79200.0,180000.0
126,2011-02-16,RUSSIAN FEDERATION,3011850.0,7500000.0
127,2011-02-28,RUSSIAN FEDERATION,54554.5,119900.0
128,2011-03-08,RUSSIAN FEDERATION,108960.0,240000.0
129,2011-02-16,RUSSIAN FEDERATION,3011850.0,7500000.0
130,2011-03-10,RUSSIAN FEDERATION,122580.0,270000.0
131,2011-03-09,COLOMBIA,1650.0,825.39
132,2011-03-16,RUSSIAN FEDERATION,67184.0,152000.0
133,2011-03-16,RUSSIAN FEDERATION,81720.0,180000.0
134,2011-03-17,RUSSIAN FEDERATION,40860.0,90000.0
135,2011-02-16,RUSSIAN FEDERATION,2845150.0,7700000.0
136,2011-03-18,RUSSIAN FEDERATION,68100.0,150000.0
137,2011-03-18,RUSSIAN FEDERATION,81720.0,180000.0
138,2011-03-18,RUSSIAN FEDERATION,40860.0,90000.0
139,2011-03-19,RUSSIAN FEDERATION,40860.0,90000.0
140,2011-03-19,RUSSIAN FEDERATION,68100.0,150000.0
141,2011-03-22,RUSSIAN FEDERATION,66300.0,150000.0
142,2011-03-23,RUSSIAN FEDERATION,91896.0,208000.0
143,2011-03-21,RUSSIAN FEDERATION,40860.0,90000.0
144,2011-03-28,CHINA,135300.0,300000.0
145,2011-03-08,RUSSIAN FEDERATION,9562934.0,26398928.0
146,2011-03-14,RUSSIAN FEDERATION,153457.92,308000.0
147,2011-03-21,RUSSIAN FEDERATION,3068527.0,7700000.0
148,2011-04-06,VENEZUELA,5271644.0,16499668.0
149,2011-03-16,FRANCE,65.04,16.0
150,2011-03-21,UKRAINE,402139.19,1273600.0
151,2011-04-06,UKRAINE,788480.0,2200000.0
152,2011-04-30,RUSSIAN FEDERATION,26100.0,60000.0
153,2011-04-27,RUSSIAN FEDERATION,26100.0,60000.0
154,2011-05-03,BELARUS,1.2,4.8
155,2011-04-09,RUSSIAN FEDERATION,199080.0,504000.0
156,2011-04-06,UKRAINE,1131900.0,3300000.0
157,2011-04-09,RUSSIAN FEDERATION,186440.0,472000.0
158,2011-05-01,UKRAINE,2040780.0,6000000.0
159,2011-04-26,RUSSIAN FEDERATION,183635.0,456000.0
160,2011-06-02,VENEZUELA,7008046.5,16342087.0
161,2011-05-23,RUSSIAN FEDERATION,9480.0,24000.0
162,2011-05-26,RUSSIAN FEDERATION,1832626.62,5020895.0
163,2011-07-06,GERMANY,167.88,518.69
164,2011-06-21,CHINA,122352.0,240000.0
165,2011-06-21,CHINA,133528.2,260000.0
166,2011-06-23,CHINA,254900.0,500000.0
167,2011-06-23,CHINA,256785.0,500000.0
168,2011-06-28,UNITED ARAB EMIRATES,524774.62,1000000.0
169,2011-08-02,FRANCE,42.72,10.8
170,2011-06-28,CHINA,155199.0,300000.0
171,2011-06-28,CHINA,156330.0,300000.0
172,2011-08-08,RUSSIAN FEDERATION,34080.0,48000.0
173,2011-07-04,CHINA,312660.0,600000.0
174,2011-06-30,CHINA,310398.0,600000.0
175,2011-08-08,VENEZUELA,8272019.5,16331727.0
176,2011-08-26,RUSSIAN FEDERATION,2570650.0,5000000.0
177,2011-08-26,RUSSIAN FEDERATION,2570650.0,5000000.0
178,2011-09-20,FRANCE,60.67,16.0
179,2011-08-25,UKRAINE,4171559.75,7700000.0
180,2011-08-26,RUSSIAN FEDERATION,2743468.75,5763590.0
181,2011-08-25,RUSSIAN FEDERATION,1503.0,556700.0
182,2011-08-11,RUSSIAN FEDERATION,174180.12,326180.0
183,2011-10-20,FRANCE,62.7,15.0
184,2011-09-07,RUSSIAN FEDERATION,1626900.0,3300000.0
185,2011-09-28,CHINA,20176.6,39960.0
186,2011-10-30,RUSSIAN FEDERATION,11467302.0,22000000.0
187,2011-11-23,VENEZUELA,9540907.0,19794412.0
188,2011-11-16,SPAIN,78.48,11560.29
189,2011-11-08,CHINA,235000.0,500000.0
190,2011-11-14,CHINA,240000.0,500000.0
191,2011-11-18,CHINA,225598.59,479997.0
192,2011-11-25,CHINA,244324.8,519840.0
193,2011-12-12,RUSSIAN FEDERATION,953290.25,1792000.0
194,2011-12-12,RUSSIAN FEDERATION,5589941.0,10508000.0
195,2011-11-16,CHINA,235000.0,500000.0
196,2011-11-23,CHINA,260770.62,519948.0
197,2011-11-18,CHINA,260770.62,519948.0
198,2011-11-19,CHINA,240000.0,500000.0
199,2011-11-26,CHINA,492086.75,1011962.0
200,2011-12-06,CHINA,174000.0,400000.0
201,2011-12-12,RUSSIAN FEDERATION,2442000.0,5500000.0
202,2011-11-22,CHINA,239647.69,498807.0
203,2011-11-22,CHINA,195622.81,402003.0
204,2011-12-02,RUSSIAN FEDERATION,189760.0,320000.0
205,2011-12-04,CHINA,366818.94,735750.0
206,2011-11-25,CHINA,495606.38,1019000.0
207,2011-12-08,CHINA,495606.38,1019200.0
208,2011-12-08,CHINA,469052.03,1010496.0
209,2011-12-02,CHINA,180000.0,400000.0
210,2011-12-13,CHINA,491249.41,1010240.0
211,2011-12-15,CHINA,90000.0,200000.0
212,2011-12-15,CHINA,360000.0,800000.0
213,2011-12-25,CHINA,45000.0,100000.0
214,2011-12-15,CHINA,43500.0,100000.0
215,2011-12-09,CHINA,380468.75,744600.0
216,2011-12-09,CHINA,314605.16,614450.0
217,2011-12-17,CHINA,155366.34,322290.0
218,2011-12-26,CHINA,238133.69,503880.0
219,2012-01-24,VENEZUELA,8101554.5,21097798.0
220,2011-12-11,CHINA,499652.25,1012500.0
221,2011-12-29,CHINA,204528.28,432772.5
222,2012-01-28,FRANCE,2491.03,1119.6
223,2011-12-06,CHINA,261250.0,500000.0
