,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
0,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,244324.8,29975.27,519840.0
1,DELCORP S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,953290.25,100352.0,1792000.0
2,AGRIPAC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,5589941.0,588448.0,10508000.0
3,FERMAGRI S.A.,2011-11-16,CHINA,MARITIMO,ECUADOR,235000.0,33000.0,500000.0
4,DELCORP S.A.,2011-11-23,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0
5,DELCORP S.A.,2011-11-18,CHINA,MARITIMO,ECUADOR,260770.62,33000.0,519948.0
6,FERMAGRI S.A.,2011-11-19,CHINA,MARITIMO,ECUADOR,240000.0,33000.0,500000.0
7,DELCORP S.A.,2011-11-26,CHINA,MARITIMO,ECUADOR,492086.75,86016.77,1011962.0
8,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,174000.0,28000.0,400000.0
9,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2011-12-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,2442000.0,308000.0,5500000.0
10,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,239647.69,31974.03,498807.0
11,DELCORP S.A.,2011-11-22,CHINA,MARITIMO,ECUADOR,195622.81,22946.24,402003.0
12,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2011-12-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,189760.0,14400.0,320000.0
13,DELCORP S.A.,2011-12-04,CHINA,MARITIMO,ECUADOR,366818.94,53000.0,735750.0
14,DELCORP S.A.,2011-11-25,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019000.0
15,DELCORP S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,495606.38,86632.0,1019200.0
16,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-08,CHINA,MARITIMO,ECUADOR,469052.03,56405.89,1010496.0
17,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-02,CHINA,MARITIMO,ECUADOR,180000.0,28000.0,400000.0
18,DELCORP S.A.,2011-12-13,CHINA,MARITIMO,ECUADOR,491249.41,85870.4,1010240.0
19,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,90000.0,14000.0,200000.0
20,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,360000.0,56000.0,800000.0
21,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-25,CHINA,MARITIMO,ECUADOR,45000.0,8014.48,100000.0
22,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,43500.0,7000.0,100000.0
23,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,380468.75,44400.0,744600.0
24,DELCORP S.A.,2011-12-09,CHINA,MARITIMO,ECUADOR,314605.16,36000.0,614450.0
25,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-17,CHINA,MARITIMO,ECUADOR,155366.34,15576.28,322290.0
26,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-26,CHINA,MARITIMO,ECUADOR,238133.69,31200.0,503880.0
27,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-01-24,VENEZUELA,MARITIMO,ECUADOR,8101554.5,968810.88,21097798.0
28,DELCORP S.A.,2011-12-11,CHINA,MARITIMO,ECUADOR,499652.25,57000.0,1012500.0
29,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-29,CHINA,MARITIMO,ECUADOR,204528.28,33660.8,432772.5
30,UNION DE ORGANIZACIONES CAMPESINAS CACAOTERAS UNOCACE,2012-01-28,FRANCE,MARITIMO,ECUADOR,2491.03,499.11,1119.6
31,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0
32,DELCORP S.A.,2011-12-06,CHINA,MARITIMO,ECUADOR,261250.0,21250.0,500000.0
33,DELCORP S.A.,2011-12-10,CHINA,MARITIMO,ECUADOR,50348.05,6000.0,102492.0
34,DELCORP S.A.,2011-12-03,CHINA,MARITIMO,ECUADOR,503184.62,58000.0,1020744.0
35,DELCORP S.A.,2011-12-20,CHINA,MARITIMO,ECUADOR,272380.62,31000.0,546750.0
36,DELCORP S.A.,2011-12-28,CHINA,MARITIMO,ECUADOR,59798.27,7000.0,121500.0
37,DELCORP S.A.,2011-12-28,CHINA,MARITIMO,ECUADOR,272480.62,30900.0,546750.0
38,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2011-12-15,CHINA,MARITIMO,ECUADOR,8698.35,0.01,19996.2
39,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-02-13,UKRAINE,MARITIMO,ECUADOR,1358280.0,164670.0,3300000.0
40,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-02-13,UKRAINE,MARITIMO,ECUADOR,838420.0,109780.0,2200000.0
41,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2012-02-24,RUSSIAN FEDERATION,MARITIMO,ECUADOR,162901.06,24017.0,329000.0
42,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-03-17,VENEZUELA,MARITIMO,ECUADOR,7260295.0,757710.81,16500671.0
43,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-03-17,UKRAINE,MARITIMO,ECUADOR,3697686.75,475475.0,9100000.0
44,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-04-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,361213.44,26403.0,749250.0
45,MERCK C A,2012-04-25,GERMANY,AEREA,ECUADOR,121.31,23.99,973.58
46,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-04-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,347835.16,25429.0,721500.0
47,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-04-22,VENEZUELA,MARITIMO,ECUADOR,8908340.0,757538.81,16496925.0
48,DELCORP S.A.,2012-06-16,UKRAINE,MARITIMO,ECUADOR,1821039.0,188100.0,3300000.0
49,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-05-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,126198.0,42066.0,350550.0
50,AGRIPAC S.A.,2012-06-16,UKRAINE,MARITIMO,ECUADOR,1215874.0,125400.0,2200000.0
51,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1149500.0,104500.0,2200000.0
52,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,519750.0,52250.0,1100000.0
53,ADMECUADOR CIA. LTDA.,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1581750.0,175750.0,3700000.0
54,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,133329.59,44443.2,370360.0
55,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-06-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,125856.0,41952.0,349600.0
56,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-06-18,UKRAINE,MARITIMO,ECUADOR,1567500.0,142500.0,3000000.0
57,SOLVESA ECUADOR S.A,2012-07-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,213532.0,47058.0,506000.0
58,SOLVESA ECUADOR S.A,2012-07-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,230649.98,29940.02,506000.0
59,MERCK C A,2012-08-04,GERMANY,AEREA,ECUADOR,153.17,8.61,641.6
60,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-07-15,RUSSIAN FEDERATION,MARITIMO,ECUADOR,10572.55,3534.0,29450.0
61,DELCORP S.A.,2012-07-27,UKRAINE,MARITIMO,ECUADOR,2066939.5,204782.64,4266305.0
62,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2012-07-11,UKRAINE,MARITIMO,ECUADOR,1495857.0,191400.0,3300000.0
63,AGRIPAC S.A.,2012-07-27,UKRAINE,MARITIMO,ECUADOR,1601231.12,158400.0,3300000.0
64,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-07-27,VENEZUELA,MARITIMO,ECUADOR,5672901.0,812676.06,13192793.0
65,FERMAGRI S.A.,2012-07-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,222669.41,14297.0,489600.0
66,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-07-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,193392.0,34272.0,489600.0
67,FERMAGRI S.A.,2012-07-28,CHINA,MARITIMO,ECUADOR,28200.0,7680.0,60000.0
68,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-07-27,UKRAINE,MARITIMO,ECUADOR,1276000.0,132000.0,2750000.0
69,BRENNTAG ECUADOR S.A.,2012-08-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,266243.12,17848.36,509250.0
70,FERMAGRI S.A.,2012-08-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,432481.5,30838.49,990000.0
71,FERMAGRI S.A.,2012-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,436800.19,31146.65,999880.0
72,SANTAMARIA RODRIGUEZ JOFFRE XAVIER,2012-08-11,CHINA,MARITIMO,ECUADOR,10661.7,2190.0,21200.0
73,DELCORP S.A.,2012-08-26,FINLAND,MARITIMO,ECUADOR,1424333.0,184000.0,3200000.0
74,SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS S.A.,2012-08-26,FINLAND,MARITIMO,ECUADOR,1366500.0,172500.0,3000000.0
75,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,225184.5,14275.5,500000.0
76,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-08-26,RUSSIAN FEDERATION,MARITIMO,ECUADOR,863500.0,126500.0,2200000.0
77,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-08-26,UKRAINE,MARITIMO,ECUADOR,633000.0,86250.0,1500000.0
78,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-08-23,VENEZUELA,MARITIMO,ECUADOR,6087446.5,681794.0,14847431.0
79,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-09-01,RUSSIAN FEDERATION,MARITIMO,ECUADOR,162889.16,59959.2,499660.0
80,BRENNTAG ECUADOR S.A.,2012-09-01,RUSSIAN FEDERATION,MARITIMO,ECUADOR,272107.03,17785.0,519750.0
81,SOLVESA ECUADOR S.A,2012-09-08,RUSSIAN FEDERATION,MARITIMO,ECUADOR,9304.9,1255.1,22000.0
82,REYBANPAC REY BANANO DEL PACIFICO C.L.,2012-10-06,UKRAINE,MARITIMO,,553005.0,447246.2585714286,12097816.666666666
83,REYBANPAC REY BANANO DEL PACIFICO C.L.,2012-10-06,UKRAINE,MARITIMO,,2765025.0,447246.2585714286,12097816.666666666
84,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-10-25,VENEZUELA,MARITIMO,,6698387.5,923320.0714285715,11740093.524285715
85,DELCORP S.A.,2012-10-27,RUSSIAN FEDERATION,MARITIMO,,1287000.0,72328.39789115646,2364611.6810344825
86,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-09-13,CHINA,MARITIMO,,241000.0,34341.777933884296,1084100.0109375
87,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-09-13,CHINA,MARITIMO,,260400.0,34341.777933884296,1084100.0109375
88,AGRIPAC S.A.,2012-11-09,RUSSIAN FEDERATION,MARITIMO,,4020720.0,112730.76932515336,3399980.392265193
89,FERMAGRI S.A.,2012-10-22,CHINA,MARITIMO,,97800.0,43794.817980769236,1314992.8091286307
90,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-10-27,RUSSIAN FEDERATION,MARITIMO,,1060000.0,47046.90987951807,618728.4470588235
91,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2012-11-09,RUSSIAN FEDERATION,MARITIMO,,100224.0,23210.70588235294,606260.7457142858
92,REYBANPAC REY BANANO DEL PACIFICO C.L.,2012-11-09,RUSSIAN FEDERATION,MARITIMO,,6961680.0,447246.2585714286,12097816.666666666
93,SOLVESA ECUADOR S.A,2012-11-03,RUSSIAN FEDERATION,MARITIMO,,196876.69,17288.583711340205,470330.5
94,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-11-09,RUSSIAN FEDERATION,MARITIMO,,811800.0,49483.8138170347,1724185.5015576323
95,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-11-25,VENEZUELA,MARITIMO,,6431287.0,923320.0714285715,11740093.524285715
96,FERMAGRI S.A.,2012-11-17,RUSSIAN FEDERATION,MARITIMO,,270105.0,43794.817980769236,1314992.8091286307
97,SOLVESA ECUADOR S.A,2012-11-19,RUSSIAN FEDERATION,MARITIMO,,196876.69,17288.583711340205,470330.5
98,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2012-11-30,UNITED STATES,MARITIMO,ECUADOR,222794.0,33000.0,550000.0
99,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2012-12-08,RUSSIAN FEDERATION,MARITIMO,ECUADOR,153291.84,12885.0,312000.0
100,SOLVESA ECUADOR S.A,2012-12-16,UNITED STATES,MARITIMO,ECUADOR,282403.62,18502.0,637480.0
101,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-12-30,MALAYSIA,MARITIMO,ECUADOR,133980.0,20880.0,348000.0
102,DELCORP S.A.,2012-12-30,UNITED STATES,MARITIMO,ECUADOR,870812.12,109672.75,2099000.0
103,DELCORP S.A.,2012-12-30,UNITED STATES,MARITIMO,ECUADOR,1203537.88,151577.25,2901000.0
104,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2012-12-30,RUSSIAN FEDERATION,MARITIMO,ECUADOR,794500.0,104500.0,2000000.0
105,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2012-12-31,UNITED STATES,MARITIMO,ECUADOR,279407.03,21725.0,528000.0
106,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-01-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,516652.41,89534.4,1300104.0
107,SOLVESA ECUADOR S.A,2013-01-21,PERU,MARITIMO,ECUADOR,259584.0,48000.0,691200.0
108,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-01-18,UNITED STATES,MARITIMO,ECUADOR,212330.0,15030.0,1015000.0
109,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-01-18,CHINA,MARITIMO,ECUADOR,77060.0,150300.0,1724185.5015576323
110,UNIDAD NACIONAL DE ALMACENAMIENTO UNA,2012-12-07,CHINA,MARITIMO,ECUADOR,6731180.0,757587.69,16625.38
111,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2013-02-10,PERU,MARITIMO,ECUADOR,933322.5,88875.0,2250000.0
112,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-01-28,UNITED STATES,MARITIMO,ECUADOR,18214.0,1274.0,87000.0
113,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-01-28,CHINA,MARITIMO,ECUADOR,18214.0,1274.0,1724185.5015576323
114,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2013-01-31,MALAYSIA,MARITIMO,ECUADOR,95473.23,6950.0,184800.0
115,DELCORP S.A.,2013-02-10,MALAYSIA,MARITIMO,ECUADOR,1876331.25,177750.0,6300000.0
116,DELCORP S.A.,2013-02-10,MALAYSIA,MARITIMO,ECUADOR,756900.0,71100.0,2364611.6810344825
117,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-02-10,RUSSIAN FEDERATION,MARITIMO,ECUADOR,228686.09,19055.0,1093650.0
118,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-02-10,INDONESIA,MARITIMO,ECUADOR,228686.09,19055.0,1724185.5015576323
119,FERMAGRI S.A.,2013-02-15,INDONESIA,MARITIMO,ECUADOR,280252.69,20740.0,554100.0
120,FERMAGRI S.A.,2013-02-27,UNITED STATES,MARITIMO,ECUADOR,286284.66,24680.0,658050.0
121,AGRIPAC S.A.,2012-03-13,MALAYSIA,MARITIMO,ECUADOR,547250.0,33000.0,1100000.0
122,LABORATORIOS ASOCIADOS ZUMBA S A,2013-03-09,INDONESIA,MARITIMO,ECUADOR,99.36,5.24,1518.18
123,DELCORP S.A.,2012-03-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1463381.62,88000.02,8800000.0
124,DELCORP S.A.,2012-03-13,PERU,MARITIMO,ECUADOR,1473559.88,87999.99,2364611.6810344825
125,DELCORP S.A.,2012-03-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1483767.88,87999.99,2364611.6810344825
126,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2012-03-13,INDONESIA,MARITIMO,ECUADOR,1001000.0,66000.0,2200.0
127,FERMAGRI S.A.,2013-03-20,PERU,MARITIMO,ECUADOR,269184.91,18807.68,587740.0
129,MERCK C A,2013-04-26,INDONESIA,MARITIMO,ECUADOR,35.73,1.27,9066.13
130,SOLVESA ECUADOR S.A,2013-05-05,PERU,MARITIMO,ECUADOR,213996.28,16469.22,517900.0
131,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-04-30,RUSSIAN FEDERATION,MARITIMO,ECUADOR,514545.19,92698.74,33830.0
132,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-05-05,MALAYSIA,MARITIMO,ECUADOR,194052.66,15213.0,1079390.0
133,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-05-05,MALAYSIA,MARITIMO,ECUADOR,221860.39,18855.0,1724185.5015576323
134,MERCK C A,2013-05-23,PERU,MARITIMO,ECUADOR,35.81,1.19,6154.51
137,REYBANPAC REY BANANO DEL PACIFICO C.L.,2013-05-12,PERU,MARITIMO,ECUADOR,5049148.5,544500.0,12052526.0
138,TECNIAGREX S A,2013-05-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,27160.0,1171.58,56000.0
139,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-06-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,572440.44,47046.90987951807,33930.0
140,MERCK C A,2013-07-04,CHINA,MARITIMO,ECUADOR,35.68,1.32,4094.28
141,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-05-05,CHINA,MARITIMO,ECUADOR,10899.29,3216.39,28290.0
142,MERCK C A,2013-07-11,UNITED STATES,MARITIMO,ECUADOR,70.73,3.57,3933.66
143,FERMAGRI S.A.,2013-07-17,CHINA,MARITIMO,ECUADOR,178007.02,19340.0,497400.0
144,MERCK C A,2013-08-07,UNITED STATES,AEREA,ECUADOR,173.96,13.22,316.59
145,FERMAGRI S.A.,2013-07-20,MALAYSIA,MARITIMO,ECUADOR,214384.31,16820.0,538875.0
146,SOLVESA ECUADOR S.A,2013-07-22,PERU,MARITIMO,ECUADOR,190602.0,18530.75,529450.0
148,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-07-28,UNITED STATES,MARITIMO,ECUADOR,468633.59,95385.6,33350.0
150,SOLVESA ECUADOR S.A,2013-08-01,RUSSIAN FEDERATION,MARITIMO,ECUADOR,167587.0,13174.0,409500.0
151,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-07-27,CHINA,MARITIMO,ECUADOR,191540.0,16320.0,1098000.0
152,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-07-27,INDONESIA,MARITIMO,ECUADOR,193060.0,16320.0,1724185.5015576323
153,FERMAGRI S.A.,2013-08-04,RUSSIAN FEDERATION,MARITIMO,ECUADOR,178702.0,15138.0,484600.0
154,MERCK C A,2013-08-08,RUSSIAN FEDERATION,MARITIMO,ECUADOR,104.63,5.16,3098.61
155,MORALVA CLTDA,2013-08-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,32577.18,7522.82,100000.0
156,AGRONUTRIENTES C.A.,2013-08-07,INDONESIA,MARITIMO,ECUADOR,32577.18,7522.82,100000.0
157,FERMAGRI S.A.,2013-08-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,179911.59,20048.8,527600.0
158,FERMAGRI S.A.,2013-08-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,72500.0,13815.23,200000.0
159,TECNIAGREX S A,2013-08-13,PERU,MARITIMO,ECUADOR,58184.0,8596.0,140000.0
160,TECNIAGREX S A,2013-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,180370.41,26647.6,434000.0
161,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2013-08-18,RUSSIAN FEDERATION,MARITIMO,ECUADOR,111000.0,18000.0,300000.0
162,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2013-08-16,INDONESIA,MARITIMO,ECUADOR,128742.5,28530.0,408500.0
163,MORALVA CLTDA,2013-08-24,INDONESIA,MARITIMO,ECUADOR,32577.18,7522.82,100000.0
164,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2013-08-22,PERU,MARITIMO,ECUADOR,66150.0,16800.0,210000.0
165,SOLVESA ECUADOR S.A,2013-09-11,PERU,MARITIMO,ECUADOR,152966.34,24666.66,459000.0
166,FERMAGRI S.A.,2013-09-01,PERU,MARITIMO,ECUADOR,202420.0,16845.0,540000.0
167,REYBANPAC REY BANANO DEL PACIFICO C.L.,2013-08-31,MALAYSIA,MARITIMO,ECUADOR,3198949.5,270600.0,10499048.0
168,REYBANPAC REY BANANO DEL PACIFICO C.L.,2013-08-31,RUSSIAN FEDERATION,MARITIMO,ECUADOR,558442.5,53812.5,12097816.666666666
169,AGRONUTRIENTES C.A.,2013-08-24,INDONESIA,MARITIMO,ECUADOR,32577.18,7522.82,100000.0
170,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-09-08,MALAYSIA,MARITIMO,ECUADOR,553413.5,107561.8,33520.0
171,DELCORP S.A.,2013-09-08,PERU,MARITIMO,ECUADOR,1662980.0,110880.0,4400000.0
172,AGRIPAC S.A.,2013-09-08,CHINA,MARITIMO,ECUADOR,1634779.25,108999.7,4325385.0
173,FERMAGRI S.A.,2013-09-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,80090.0,10000.0,210000.0
174,FERMAGRI S.A.,2013-09-22,RUSSIAN FEDERATION,MARITIMO,ECUADOR,184243.95,18391.05,513000.0
175,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2013-09-20,PERU,MARITIMO,ECUADOR,118400.0,19200.0,320000.0
176,DUAJA DEL ECUADOR S.A.,2013-09-26,UNITED STATES,MARITIMO,ECUADOR,160950.0,22500.0,436740.0
177,DUAJA DEL ECUADOR S.A.,2013-09-26,CHINA,MARITIMO,ECUADOR,52170.0,7500.0,141564.0
178,REYBANPAC REY BANANO DEL PACIFICO C.L.,2012-10-06,MALAYSIA,MARITIMO,ECUADOR,553005.0,86625.0,1500000.0
179,SOLVESA ECUADOR S.A,2013-10-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,118308.6,11292.0,324000.0
180,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2013-10-15,PERU,MARITIMO,ECUADOR,477852.03,103722.7,33430.0
181,INTERFILK S.A.,2013-11-24,PERU,MARITIMO,ECUADOR,110250.0,9750.0,315000.0
184,EMPRESA PUBLICA UNIDAD NACIONAL DE ALMACENAMIENTO UNA EP,2013-11-05,PERU,MARITIMO,ECUADOR,13200000.0,1600000.0,40000000.0
185,SOLVESA ECUADOR S.A,2013-11-08,CHINA,MARITIMO,ECUADOR,159821.09,15138.9,486000.0
186,FERMAGRI S.A.,2013-11-08,RUSSIAN FEDERATION,MARITIMO,ECUADOR,194036.5,17570.0,540000.0
187,FERMAGRI S.A.,2013-11-11,UNITED STATES,MARITIMO,ECUADOR,172292.0,15979.0,513000.0
188,DUAJA DEL ECUADOR S.A.,2013-11-03,CHINA,MARITIMO,ECUADOR,118827.5,10167.5,319000.0
189,IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE,2013-10-31,INDONESIA,MARITIMO,ECUADOR,107385.0,12615.0,300000.0
190,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-11-25,UNITED STATES,MARITIMO,ECUADOR,170003.8,16820.0,536850.0
191,REYBANPAC REY BANANO DEL PACIFICO C.L.,2013-11-22,PERU,MARITIMO,ECUADOR,5088536.0,749586.31,15471534.0
194,SOLVESA ECUADOR S.A,2013-11-18,INDONESIA,MARITIMO,ECUADOR,199699.8,17375.0,580000.0
195,DUAJA DEL ECUADOR S.A.,2013-11-20,CHINA,MARITIMO,ECUADOR,98600.0,15000.0,291160.0
196,AGRIPAC S.A.,2013-11-25,PERU,MARITIMO,ECUADOR,112240.44,20880.0,348000.0
197,FERMAGRI S.A.,2013-12-08,INDONESIA,MARITIMO,ECUADOR,163224.0,15198.0,486000.0
198,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-12-17,RUSSIAN FEDERATION,MARITIMO,ECUADOR,151348.95,14299.04,476000.0
200,DUAJA DEL ECUADOR S.A.,2013-12-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,97240.0,15000.0,287144.0
202,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-12-22,CHINA,MARITIMO,ECUADOR,108262.0,5082.0,308000.0
203,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-12-22,RUSSIAN FEDERATION,MARITIMO,ECUADOR,151348.95,14299.04,476000.0
204,FERMAGRI S.A.,2013-12-22,INDONESIA,MARITIMO,ECUADOR,154156.0,14297.0,459000.0
205,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2014-01-02,PERU,MARITIMO,ECUADOR,600000.0,90000.0,2000000.0
207,BRENNTAG ECUADOR S.A.,2013-12-19,PERU,MARITIMO,ECUADOR,93196.55,7369.0,243000.0
208,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-12-18,MALAYSIA,MARITIMO,ECUADOR,99714.6,22516.2,1072200.0
209,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2013-12-18,CHINA,MARITIMO,ECUADOR,100936.91,22516.2,1724185.5015576323
