,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
1559,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-06-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,22857.25,3650.51,1084100.0109375
1560,PESEGETE ECUADOR S.A.,2020-06-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,73080.0,8135.0,203000.0
1561,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,698115.0,100650.0,3300000.0
1562,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,312690.0,45750.0,1500000.0
1563,AGRIPAC S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,908160.0,134200.0,4400000.0
1564,AGRIPAC S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,902815.0,134755.09,4418200.0
1565,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,362700.0,54900.0,1800000.0
1566,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-06-28,RUSSIAN FEDERATION,MARITIMO,ECUADOR,445677.06,66470.18,2179350.0
1567,PROTECALEMAN REPRESENTACIONES QUIMICAS S.A,2020-06-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,79233.0,12755.0,319000.0
1568,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-06-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,110170.58,19635.0,491000.0
1569,ANDERS ECUADOR CIA. LTDA.,2020-07-17,GERMANY,MARITIMO,ECUADOR,250.5,8.51,2068.0
1570,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-06-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,6507.02,1205.0,29000.0
1571,FERTILIZANTES Y ABONOS PALACIOS MARQUEZ FERTIPALMA CIA LTDA,2020-07-05,RUSSIAN FEDERATION,MARITIMO,ECUADOR,74140.0,8800.0,319000.0
1572,ANDERS ECUADOR CIA. LTDA.,2020-07-23,GERMANY,MARITIMO,ECUADOR,3030.0,258.03,1300.0
1573,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-07-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,254193.7,29604.07,1073000.0
1574,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-07-12,RUSSIAN FEDERATION,MARITIMO,ECUADOR,255344.42,30404.18,1102000.0
1575,AGRIPAC S.A.,2020-09-01,BELARUS,MARITIMO,ECUADOR,1016400.0,173250.0,4395000.0
1576,AGRIPAC S.A.,2020-09-01,BELARUS,MARITIMO,ECUADOR,143880.0,24525.0,3399980.392265193
1577,FERMAGRI S.A.,2020-08-29,CHINA,MARITIMO,ECUADOR,639935.56,121506.75,2700150.0
1578,FERMAGRI S.A.,2020-09-01,CHINA,MARITIMO,ECUADOR,954250.69,188338.95,4185310.0
1579,FERTISA AGIF C.L.,2020-08-29,BELARUS,MARITIMO,ECUADOR,419148.0,81000.0,1800000.0
1580,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-09-01,BELARUS,MARITIMO,ECUADOR,500000.0,90000.0,2605000.0
1581,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-09-01,BELARUS,MARITIMO,ECUADOR,151250.0,27225.0,1724185.5015576323
1582,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2020-08-22,RUSSIAN FEDERATION,MARITIMO,ECUADOR,245489.64,11388.3,957000.0
1583,SOLVESA ECUADOR S.A,2020-08-22,RUSSIAN FEDERATION,MARITIMO,ECUADOR,108795.0,5175.0,435000.0
1584,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-07-28,CHINA,MARITIMO,ECUADOR,4850.0,411.93,48000.0
1585,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2020-07-28,CHINA,MARITIMO,ECUADOR,11017.5,935.75,1084100.0109375
