,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO,LATITUDE,LONGITUDE,NAME,TEMP,PRCP
1749,FERMAGRI S.A.,2023-04-10,RUSSIAN FEDERATION,MARITIMO,ECUADOR,714825.0,43794.817980769236,2500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",81.7,0.0
1750,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-04-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,669454.19,49483.8138170347,2218940.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.7,0.0
1751,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-04-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,582578.62,49483.8138170347,2000270.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.7,0.0
1752,FERTISA AGIF C.L.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1548033.38,83380.54394366198,10453220.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1753,FERTISA AGIF C.L.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,928587.0,83380.54394366198,2581862.620762712,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1754,FERTISA AGIF C.L.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,387899.78,83380.54394366198,2581862.620762712,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1755,FERTISA AGIF C.L.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,59600.2,83380.54394366198,2581862.620762712,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1756,PRECISAGRO S.A.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,436425.0,60048.74543799773,3379060.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1757,PRECISAGRO S.A.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,17964.84,60048.74543799773,2764157.8,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1758,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,524605.31,49483.8138170347,1882600.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1759,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,190765.06,49483.8138170347,684580.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1760,SOLVESA ECUADOR S.A,2023-05-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,151761.5,17288.583711340205,550000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",82.1,0.0
1761,FERTISA AGIF C.L.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1477575.0,83380.54394366198,4950000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
1762,FERTISA AGIF C.L.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1556390.0,83380.54394366198,5500000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
1763,PRECISAGRO S.A.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,494983.5,60048.74543799773,1650000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
1764,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,636570.0,49483.8138170347,2200000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
1765,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2023-06-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,629475.0,49483.8138170347,2100000.0,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
