,FECHA,LATITUDE,LONGITUDE,NAME,TEMP,PRCP
0,2009-01-01,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.1,0.0
1,2009-01-02,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.8,0.0
2,2009-01-03,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.7,0.0
3,2009-01-04,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.5,99.99
4,2009-01-05,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
5,2009-01-06,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.6,0.0
6,2009-01-07,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.1,0.0
7,2009-01-08,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",76.8,99.99
8,2009-01-09,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.2,0.0
9,2009-01-10,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.2,99.99
10,2009-01-11,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
11,2009-01-12,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.7,0.0
12,2009-01-13,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.0,99.99
13,2009-01-14,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.3,99.99
14,2009-01-15,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.6,99.99
15,2009-01-16,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.5,99.99
16,2009-01-17,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",75.2,99.99
17,2009-01-18,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.2,0.0
18,2009-01-19,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.4,0.0
19,2009-01-20,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.1,0.0
20,2009-01-21,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.1,0.0
21,2009-01-22,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.0,0.0
22,2009-01-23,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.04
23,2009-01-24,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
24,2009-01-25,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
25,2009-01-26,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.0
26,2009-01-27,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.01
27,2009-01-28,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.9,0.08
28,2009-01-29,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.6,0.0
29,2009-01-30,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.1,0.0
30,2009-01-31,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.6,0.0
31,2009-02-01,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.1,99.99
32,2009-02-02,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
33,2009-02-03,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.0,0.0
34,2009-02-04,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.5,0.0
35,2009-02-05,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.9,0.03
36,2009-02-06,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.2,0.0
37,2009-02-07,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.6,0.0
38,2009-02-08,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.5,0.04
39,2009-02-09,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.3,0.08
40,2009-02-10,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.1,0.04
41,2009-02-11,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.6,0.0
42,2009-02-12,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.6,0.0
43,2009-02-13,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.8,0.24
44,2009-02-14,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",77.4,0.0
45,2009-02-15,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.3,0.0
46,2009-02-16,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.08
47,2009-02-17,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",79.4,0.0
48,2009-02-18,-0.95,-80.6833333,"ELOY ALFARO INTERNATIONAL, EC",78.7,99.99
